"id","production_country"
"tm57436","'FR'"
"tm369433","'IN'"
"tm72251","'GB'"
"tm72251","'US'"
"ts191698","'GB'"
"ts45996","'AU'"
"tm160361","'US'"
"tm34331","'US'"
"tm183039","'US'"
"ts35426","'GB'"
"ts58528","'US'"
"tm177258","'IN'"
"tm174190","'US'"
"tm68436","'IN'"
"tm65765","'US'"
"tm179451","'IN'"
"tm177044","'JP'"
"tm49451","'US'"
"tm1096916","'FR'"
"tm176128","'HK'"
"tm67444","'US'"
"tm183176","'AU'"
"tm40860","'US'"
"tm35700","'IN'"
"tm170395","'US'"
"tm170395","'ZA'"
"tm170395","'DE'"
"tm169053","'IN'"
"tm53395","'US'"
"tm183037","'IN'"
"tm183037","'DE'"
"tm177958","'IN'"
"ts6879","'CL'"
"tm178106","'IN'"
"tm57610","'IN'"
"tm169354","'EG'"
"tm176111","'CN'"
"tm176111","'HK'"
"tm59372","'IN'"
"tm161804","'TR'"
"tm159593","'IN'"
"ts39112","'CA'"
"tm44615","'IN'"
"tm54780","'JP'"
"ts167724","'GB'"
"ts99814","'SA'"
"tm175909","'IN'"
"ts158608","'ZA'"
"tm57382","'AU'"
"tm59289","'IN'"
"tm47171","'IN'"
"tm165712","'GB'"
"tm48239","'IN'"
"tm160021","'HK'"
"tm160021","'CN'"
"tm54371","'IN'"
"tm172883","'IN'"
"tm174518","'IN'"
"tm70528","'ZA'"
"tm74031","'IN'"
"tm181856","'US'"
"tm38013","'IN'"
"tm42306","'IN'"
"ts32561","'TW'"
"tm39606","'IN'"
"tm167241","'IN'"
"ts37864","'CN'"
"tm71992","'IN'"
"tm31948","'KR'"
"tm166810","'IN'"
"tm37573","'HK'"
"tm69915","'IN'"
"tm164090","'US'"
"tm37175","'US'"
"tm66725","'IN'"
"tm166740","'IN'"
"tm200838","'XX'"
"ts44064","'TW'"
"tm169128","'US'"
"tm172353","'IN'"
"tm34746","'IN'"
"tm29400","'PH'"
"tm53360","'IN'"
"tm180532","'IN'"
"tm34142","'IN'"
"ts27875","'RU'"
"tm162592","'EG'"
"ts41114","'SG'"
"tm70652","'IN'"
"tm339197","'IN'"
"tm172211","'ID'"
"tm1077038","'IN'"
"tm57256","'IN'"
"tm529723","'IN'"
"ts128422","'SA'"
"tm53829","'US'"
"tm51412","'US'"
"tm38331","'PH'"
"tm481620","'IN'"
"tm30278","'IN'"
"tm165932","'IN'"
"tm63368","'PS'"
"tm161632","'US'"
"tm182026","'IN'"
"tm235979","'IN'"
"tm946846","'US'"
"tm946846","'LB'"
"tm946846","'AE'"
"tm181366","'LB'"
"tm60213","'PH'"
"tm159623","'PH'"
"ts60663","'SG'"
"tm34646","'PH'"
"ts39465","'SG'"
"ts69208","'TW'"
"tm224577","'NG'"
"tm172504","'PS'"
"tm172504","'NL'"
"tm172504","'US'"
"tm172504","'AE'"
"ts20110","'GB'"
"ts20837","'US'"
"ts20682","'JP'"
"ts20824","'US'"
"ts1639","'US'"
"ts20351","'US'"
"ts11188","'US'"
"tm140389","'US'"
"tm140389","'FR'"
"tm140389","'GB'"
"ts20248","'US'"
"tm150928","'US'"
"tm140877","'GB'"
"tm140877","'US'"
"ts8146","'US'"
"tm176864","'US'"
"tm176864","'DE'"
"tm176864","'GB'"
"tm151663","'US'"
"ts16045","'US'"
"tm145655","'US'"
"tm160621","'US'"
"ts20292","'US'"
"tm134967","'US'"
"tm183523","'US'"
"ts6","'US'"
"tm148147","'CA'"
"tm148147","'US'"
"tm143227","'US'"
"ts21374","'US'"
"ts14583","'US'"
"tm169719","'US'"
"tm182429","'US'"
"ts20261","'US'"
"tm175843","'US'"
"tm163686","'US'"
"ts21367","'US'"
"ts20108","'US'"
"tm180572","'US'"
"tm151807","'US'"
"tm151764","'US'"
"ts20823","'US'"
"tm153284","'US'"
"ts32218","'US'"
"ts35682","'AU'"
"tm165967","'GB'"
"tm165967","'ZA'"
"ts20791","'US'"
"tm161525","'US'"
"tm161525","'CA'"
"tm161525","'CL'"
"tm168400","'US'"
"tm161282","'US'"
"ts20280","'US'"
"tm148671","'US'"
"tm171042","'US'"
"tm178712","'US'"
"ts20288","'US'"
"ts20281","'US'"
"tm187279","'GB'"
"tm165521","'US'"
"tm165521","'GB'"
"tm141648","'US'"
"tm141648","'GB'"
"tm141648","'CN'"
"tm141648","'CA'"
"ts314002","'JP'"
"tm176630","'US'"
"ts32060","'US'"
"tm184608","'US'"
"tm187979","'US'"
"tm171228","'US'"
"ts2727","'GB'"
"ts20790","'US'"
"tm161029","'US'"
"ts20014","'JP'"
"tm181270","'US'"
"ts35570","'GB'"
"tm237143","'US'"
"tm181081","'AU'"
"tm181081","'CH'"
"tm181081","'GB'"
"ts20336","'ES'"
"ts35244","'US'"
"tm144121","'US'"
"ts2161","'FI'"
"ts32271","'IL'"
"ts20097","'US'"
"ts22383","'FR'"
"ts22383","'US'"
"tm143642","'DE'"
"ts36836","'US'"
"ts22426","'JP'"
"ts42168","'TR'"
"tm148976","'US'"
"ts35282","'CA'"
"tm136601","'US'"
"tm151716","'US'"
"tm166628","'US'"
"tm140342","'AU'"
"tm140342","'US'"
"ts20883","'US'"
"tm151447","'GB'"
"tm151447","'US'"
"tm147913","'IN'"
"ts11794","'CA'"
"ts11794","'US'"
"ts11794","'GB'"
"ts98110","'US'"
"ts22445","'KR'"
"tm469911","'AT'"
"tm149038","'US'"
"tm161562","'DK'"
"tm161562","'US'"
"ts34066","'AU'"
"ts521","'US'"
"tm71148","'US'"
"tm156811","'IN'"
"ts82979","'US'"
"ts33590","'US'"
"tm138431","'CD'"
"tm138431","'GB'"
"tm144046","'US'"
"ts33840","'JP'"
"tm171965","'US'"
"tm157085","'GB'"
"tm185208","'US'"
"tm185208","'BR'"
"tm180599","'US'"
"ts58137","'CA'"
"ts58137","'JP'"
"ts58137","'US'"
"tm154797","'CA'"
"tm154797","'KR'"
"ts20709","'JP'"
"ts10206","'CA'"
"ts154625","'FR'"
"ts37187","'US'"
"ts53641","'US'"
"tm148910","'IN'"
"tm182275","'PS'"
"tm152904","'US'"
"tm172710","'US'"
"tm143757","'US'"
"ts35628","'CA'"
"ts57744","'KR'"
"ts58010","'US'"
"tm143372","'JP'"
"ts21368","'TR'"
"tm167944","'JP'"
"tm187390","'US'"
"tm187390","'EG'"
"tm187390","'GB'"
"tm143363","'IN'"
"ts88394","'US'"
"ts36127","'US'"
"tm458034","'US'"
"ts3799","'US'"
"tm171929","'US'"
"tm155291","'IN'"
"tm180643","'CA'"
"tm180643","'US'"
"tm139617","'US'"
"ts16117","'TR'"
"tm182969","'TR'"
"tm215339","'US'"
"tm151927","'IN'"
"tm139922","'US'"
"tm185797","'IN'"
"tm174289","'US'"
"tm181092","'IN'"
"ts20781","'KR'"
"tm180802","'US'"
"tm183706","'BR'"
"tm168685","'KR'"
"tm199408","'GB'"
"tm140911","'US'"
"tm148597","'GB'"
"ts76743","'JP'"
"ts83239","'RU'"
"tm144021","'US'"
"tm148457","'IN'"
"ts75104","'PL'"
"tm148662","'VE'"
"tm148662","'AR'"
"ts34074","'KR'"
"tm181550","'IN'"
"tm149914","'US'"
"tm145627","'IN'"
"tm186161","'IN'"
"tm183002","'IN'"
"ts122290","'IN'"
"ts75833","'RU'"
"tm158302","'IN'"
"tm182322","'IN'"
"tm157062","'IN'"
"tm186054","'IN'"
"tm165504","'HK'"
"tm167342","'IN'"
"tm35895","'BR'"
"tm158980","'IN'"
"ts67797","'US'"
"tm149747","'MX'"
"tm435144","'US'"
"tm159819","'PH'"
"tm2269","'RO'"
"tm175753","'IN'"
